id,title,org_name,location,ncs,job_type,start_date,end_date,dday,status,detail_url
136,한국사회보장정보원 2025년도 제2차 직원 채용공고,한국사회보장정보원,서울,"사업관리,경영.회계.사무,보건.의료,사회복지.종교,정보통신",비정규직 외 1,2025.06.05,25.06.19,D+14,마감,https://job.alio.go.kr/recruit.do?pageNo=1&idx=286739
137,[경기요양병원] 청년(체험형)인턴 채용 공고,근로복지공단,경기,보건.의료,청년인턴(체험형),2025.06.04,25.06.11,D+22,마감,https://job.alio.go.kr/recruit.do?pageNo=1&idx=286775
138,[경기요양병원] 장애전형 청년(체험형)인턴 채용 공고,근로복지공단,경기,보건.의료,청년인턴(체험형),2025.06.04,25.06.11,D+22,마감,https://job.alio.go.kr/recruit.do?pageNo=1&idx=286774
139,[순천병원] 청년(체험형)인턴 채용 공고,근로복지공단,"광주,전남",보건.의료,청년인턴(체험형),2025.06.04,25.06.11,D+22,마감,https://job.alio.go.kr/recruit.do?pageNo=1&idx=286764
140,한국폴리텍대학 춘천캠퍼스 청년인턴(장애_제한경쟁) 채용 재공고(3차),학교법인한국폴리텍,강원,경영.회계.사무,청년인턴(체험형),2025.06.04,25.06.16,D+17,마감,https://job.alio.go.kr/recruit.do?pageNo=1&idx=286751
141,(수정) 2025년 6월 전남대학교병원 청년인턴 채용 공고,전남대학교병원,광주,보건.의료,청년인턴(체험형),2025.06.02,25.06.16,D+17,마감,https://job.alio.go.kr/recruit.do?pageNo=1&idx=286769
142,대한건설기계안전관리원 제2025-01호 채용 공고,재단법인 대한건설기계안전관리원,"서울,인천,대전,광주,울산,강원,경남,전북","경영.회계.사무,기계,연구",비정규직 외 1,2025.06.02,25.06.17,D+16,마감,https://job.alio.go.kr/recruit.do?pageNo=1&idx=286733
143,"(수정) [제2025-12호] 육아정책연구소 계약직행정원(대체근무자), 청년인턴(보훈제한경쟁) 채용",육아정책연구소,서울,경영.회계.사무,비정규직 외 1,2025.06.02,25.06.25,D+8,마감,https://job.alio.go.kr/recruit.do?pageNo=1&idx=287023
144,한국보건사회연구원 청년인턴(장애인 제한경쟁) 채용 공고,한국보건사회연구원,세종,경영.회계.사무,청년인턴(체험형),2025.06.02,25.06.16,D+17,마감,https://job.alio.go.kr/recruit.do?pageNo=1&idx=286712
145,"[전주보훈요양원] 요양보호직(25-4차), 사회복지직(간호사_계약직), 청년인턴(행정지원) 공개채용",한국보훈복지의료공단,전북,사회복지.종교,비정규직 외 2,2025.06.02,25.06.17,D+16,마감,https://job.alio.go.kr/recruit.do?pageNo=1&idx=286704
146,[한국조세재정연구원] 2025년도 제3차 체험형 청년인턴 신규채용 (공동채용),한국조세재정연구원,"서울,세종","사업관리,경영.회계.사무,연구",청년인턴(체험형),2025.06.02,25.06.16,D+17,마감,https://job.alio.go.kr/recruit.do?pageNo=1&idx=286694
147,2025년도 장서각 왕실문헌연구실 청년인턴 공개 채용 공고,한국학중앙연구원,경기,"사업관리,경영.회계.사무,연구",청년인턴(체험형),2025.06.02,25.06.20,D+13,마감,https://job.alio.go.kr/recruit.do?pageNo=1&idx=286689
148,[KDI국제정책대학원] 인턴채용 (교육행정),KDI국제정책대학원,세종,"사업관리,경영.회계.사무,교육.자연.사회과학",청년인턴(체험형),2025.06.02,25.06.16,D+17,마감,https://job.alio.go.kr/recruit.do?pageNo=1&idx=286678
149,2025년 한국인터넷진흥원 체험형 청년인턴 및 시니어 인턴 채용 공고,한국인터넷진흥원,"서울,전남","사업관리,경영.회계.사무,정보통신,환경.에너지.안전",비정규직 외 1,2025.06.02,25.06.17,D+16,마감,https://job.alio.go.kr/recruit.do?pageNo=1&idx=286630
150,"2025년 제2차 한국원자력통제기술원 비정규직(인턴, 기간제 계약직) 채용",한국원자력통제기술원,대전,"사업관리,경영.회계.사무,교육.자연.사회과학,기계,재료,화학,전기.전자,정보통신,환경.에너지.안전,연구",비정규직 외 1,2025.05.30,25.06.13,D+20,마감,https://job.alio.go.kr/recruit.do?pageNo=1&idx=286672
151,"2025년 2차 항공안전기술원 직원 채용 공고(기간제근로자, 체험형 청년인턴)",항공안전기술원,"서울,인천,경기,강원,세종","사업관리,경영.회계.사무,운전.운송,기계,정보통신",비정규직 외 1,2025.05.30,25.06.15,D+18,마감,https://job.alio.go.kr/recruit.do?pageNo=1&idx=286671
152,"[인천보훈병원] 2025-8차 직원 공개채용(약사, 임상병리사, 업무지원직(급식), 청년인턴)",한국보훈복지의료공단,인천,보건.의료,무기계약직 외 3,2025.05.30,25.06.10,D+23,마감,https://job.alio.go.kr/recruit.do?pageNo=1&idx=286654
153,[정선병원] 청년(체험형)인턴 채용 공고,근로복지공단,강원,보건.의료,청년인턴(체험형),2025.05.30,25.06.09,D+24,마감,https://job.alio.go.kr/recruit.do?pageNo=1&idx=286652
154,[정선병원] 장애전형 청년(체험형)인턴 채용 공고,근로복지공단,강원,보건.의료,청년인턴(체험형),2025.05.30,25.06.09,D+24,마감,https://job.alio.go.kr/recruit.do?pageNo=1&idx=286651
155,[대전병원] 청년(체험형)인턴 채용 공고,근로복지공단,대전,보건.의료,청년인턴(체험형),2025.05.30,25.06.09,D+24,마감,https://job.alio.go.kr/recruit.do?pageNo=1&idx=286646
156,[대전병원] 장애전형 청년(체험형)인턴 채용 공고,근로복지공단,대전,보건.의료,청년인턴(체험형),2025.05.30,25.06.09,D+24,마감,https://job.alio.go.kr/recruit.do?pageNo=1&idx=286644
157,[태백요양병원] 장애전형 청년(체험형)인턴 채용 공고,근로복지공단,강원,보건.의료,청년인턴(체험형),2025.05.30,25.06.09,D+24,마감,https://job.alio.go.kr/recruit.do?pageNo=1&idx=286633
158,[태백요양병원] 청년(체험형)인턴 채용 공고,근로복지공단,강원,보건.의료,청년인턴(체험형),2025.05.30,25.06.09,D+24,마감,https://job.alio.go.kr/recruit.do?pageNo=1&idx=286632
159,2025년 한국지역난방공사 신입직원 채용 공고,한국지역난방공사,"서울,대구,경기,충북,경남,전남,세종","사업관리,경영.회계.사무,건설,기계,화학,전기.전자,정보통신,환경.에너지.안전",청년인턴(채용형) 외 1,2025.05.30,25.06.14,D+19,마감,https://job.alio.go.kr/recruit.do?pageNo=1&idx=286621
160,한국건강가정진흥원 2025년도 제2차 직원 채용 공고,한국건강가정진흥원,서울,"사업관리,경영.회계.사무,사회복지.종교,정보통신",무기계약직 외 3,2025.05.30,25.06.11,D+22,마감,https://job.alio.go.kr/recruit.do?pageNo=1&idx=286587
161,"[대구보훈병원]정규직 업무지원직(급식,청소,완화의료), 계약직 업무지원직(급식), 청년인턴(일반/장애) 공개채용",한국보훈복지의료공단,대구,보건.의료,무기계약직 외 3,2025.05.29,25.06.11,D+22,마감,https://job.alio.go.kr/recruit.do?pageNo=1&idx=286601
162,2025년 상반기 해양환경공단 채용형 청년인턴(일반직) 채용공고,해양환경공단,"서울,인천,부산,울산,강원,충남,경남,전남,전북,제주","사업관리,경영.회계.사무,교육.자연.사회과학,화학,정보통신,환경.에너지.안전",청년인턴(채용형) 외 1,2025.05.29,25.06.13,D+20,마감,https://job.alio.go.kr/recruit.do?pageNo=1&idx=286597
163,(수정) (주)강원랜드 2025년 하계 성수기 1차 기간제 근로자 모집 공고,(주)강원랜드,"서울,강원","경영.회계.사무,보건.의료,이용.숙박.여행.오락.스포츠,음식서비스",비정규직 외 1,2025.05.29,25.06.12,D+21,마감,https://job.alio.go.kr/recruit.do?pageNo=1&idx=287458
164,(수정) 2025년도 국토안전관리원 제1차 직무 중심 직원 채용 공고,국토안전관리원,"광주,경기,강원,충북,경북,경남,전남,전북","사업관리,경영.회계.사무,교육.자연.사회과학,문화.예술.디자인.방송,건설,기계,전기.전자,정보통신,환경.에너지.안전,연구",청년인턴(채용형) 외 1,2025.05.29,25.06.12,D+21,마감,https://job.alio.go.kr/recruit.do?pageNo=1&idx=287696
165,(수정) [대전보훈요양원] 2025년 체험형 청년인턴(장애인) 제한경쟁 공개채용,한국보훈복지의료공단,대전,사회복지.종교,청년인턴(체험형),2025.05.29,25.06.15,D+18,마감,https://job.alio.go.kr/recruit.do?pageNo=1&idx=286622
166,2025년 상반기 한국장애인고용공단 직원 채용,한국장애인고용공단,"서울,인천,대전,대구,부산,광주,울산,경기,강원,충남,충북,경북,경남,전남,전북,제주,세종","경영.회계.사무,교육.자연.사회과학,보건.의료,사회복지.종교,전기.전자,정보통신,환경.에너지.안전,연구",무기계약직 외 2,2025.05.29,25.06.13,D+20,마감,https://job.alio.go.kr/recruit.do?pageNo=1&idx=286581
167,2025년도 제1차 청년인턴(체험형) 채용 공고,한국교육개발원,충북,경영.회계.사무,청년인턴(체험형),2025.05.29,25.06.13,D+20,마감,https://job.alio.go.kr/recruit.do?pageNo=1&idx=286578
168,"한국형사·법무정책연구원 2025년도 제13차 채용공고[청년인턴, 취업지원대상자 제한경쟁]",한국형사·법무정책연구원,서울,경영.회계.사무,청년인턴(체험형),2025.05.29,25.06.13,D+20,마감,https://job.alio.go.kr/recruit.do?pageNo=1&idx=286548
169,2025년 2차 장애인 체험형인턴 채용공고[충북본부],한국전력공사,충북,경영.회계.사무,청년인턴(체험형),2025.05.29,25.06.13,D+20,마감,https://job.alio.go.kr/recruit.do?pageNo=1&idx=286544
170,한국폴리텍대학 인재원 청년인턴(일반) 재공고(3차),학교법인한국폴리텍,전북,경영.회계.사무,청년인턴(체험형),2025.05.29,25.06.08,D+25,마감,https://job.alio.go.kr/recruit.do?pageNo=1&idx=286479
